"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\App.jsx", "JavaScript JSX", 0, 62, 0, 0, 6, 68
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\AppointmentList.jsx", "JavaScript JSX", 0, 27, 0, 0, 2, 29
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\Avatar.jsx", "JavaScript JSX", 0, 24, 0, 3, 2, 29
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\BottomNav.jsx", "JavaScript JSX", 0, 50, 0, 1, 4, 55
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\CalendarView.jsx", "JavaScript JSX", 0, 194, 0, 16, 28, 238
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\ConfirmDialog.jsx", "JavaScript JSX", 0, 58, 0, 0, 2, 60
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\DateNaissancePicker.jsx", "JavaScript JSX", 0, 129, 0, 7, 22, 158
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\DiagnosticsRLS.jsx", "JavaScript JSX", 0, 106, 0, 5, 22, 133
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\DonutChart.jsx", "JavaScript JSX", 0, 58, 0, 0, 3, 61
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\Fichepatient.jsx", "JavaScript JSX", 0, 632, 0, 789, 96, 1517
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\FormField.jsx", "JavaScript JSX", 0, 110, 0, 0, 12, 122
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\FormulaireDevis.jsx", "JavaScript JSX", 0, 225, 0, 9, 32, 266
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\FormulairePatient.jsx", "JavaScript JSX", 0, 194, 0, 23, 22, 239
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\FormulaireRdv.jsx", "JavaScript JSX", 0, 401, 0, 10, 43, 454
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\FormulaireUtilisateur.jsx", "JavaScript JSX", 0, 156, 0, 3, 17, 176
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\KPICard.jsx", "JavaScript JSX", 0, 20, 0, 0, 1, 21
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\Layout.jsx", "JavaScript JSX", 0, 70, 0, 8, 12, 90
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\MedicalRecord.jsx", "JavaScript JSX", 0, 358, 0, 7, 23, 388
